Sender,Subject,Content,Link,Class
Vivekananda Study Circle,Monday Discussion by VSC,"Vivekananda Study C.  2 Monday Discussion by VSC  -  Venue Change for today: 204, Biotech department On Sun, 22 Sept, 2024, 22:59 Vivekananda Study Circle, <vsc@iitr.ac.in> wrote: Namaste Everyone ! Vivekananda Study Circle (VSC) is a community Attachment: Sutainability, Economics and Holistic Development_20240922_220942_0000.png Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtkmFVrHvCqTZxkqbBMHnWP,0
,,,,
LinkedIn,"RISHABH, add Yogesh Thakran - Agent","LinkedIn RISHABH, add Yogesh Thakran - Agent  -  Air Export Fedex ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏   Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtmBnfqwfJdRZVLzZFQHDvb,0
,,,,
Head Electrical Engineering,"Expert talk on ""Advances in Silicon Security in Intel Microprocessors"" on 24th September 2024, 03:30 - 04:30 pm, EED Committee Room","Head Electrical Eng. Expert talk on ""Advances in Silicon Security in Intel Microprocessors"" on 24th September 2024, 03:30 - 04:30 pm, EED Committee Room   Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlrTXqRxWGFLWcRqkXSwXs,0
,,,,
General Secretary Technical Affairs,Enactus IIT Roorkee | Fresher's Ignite: Freakonomics Fun,General Secretary T. Enactus IIT Roorkee | Fresher's Ignite: Freakonomics Fun Attachment: Fresher's Ignite.png Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlrTXFVbcjlfGNMPMBdMhV,0
,,,,
General SecretaryCA,Debating Society's Freshers' Debate and workshop,General SecretaryCA Debating Society's Freshers' Debate and workshop   Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlrLdhwtvlKFqqJqxjMqrQ,0
,,,,
Registrar IIT Roorkee,Pledge taking ceremony on the occasion of Swachhata Hi Seva-2024,"Registrar, Joint  2 Pledge taking ceremony on the occasion of Swachhata Hi Seva-2024   Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGqJMfrRlKdPtBNSvmTrNtTn,0
,,,,
General SecretaryAAPG,Fwd: Applications invited for DAAD’s Scholarship Programme - Research Internships in Science and Engineering (RISE) Worldwide 2024-2025,General SecretaryAA. Fwd: Applications invited for DAAD’s Scholarship Programme - Research Internships in Science and Engineering (RISE) Worldwide 2024-2025 Attachment: Signature - Director IITR.jpg Attachment: G20_India_Logo.png Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlrHFCNRxqbZTvgrbVTdGh,0
,,,,
LinkedIn,New from your coworkers at FedEx,LinkedIn New from your coworkers at FedEx  -  See the latest posts and milestones from your coworkers ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏   Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlhzKHWbBmJqGgfpdCSZsx,0
,,,,
Dibakar RoyChowdhury,Physics seminar- reminder,Dibakar RoyChowdhury Physics seminar- reminder  -  Its a polite reminder about today's seminar. Dear colleagues and students The next speaker for the physics seminar series is Dr. Akhil Pratap Singh. The details are given below Title: Quantum   Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlhrVKbcRCPQqLggpvxSvX,0
,,,,
Associate Dean Corporate Interaction,In-Person interaction with CBDE mentors,"Associate Dean Corp.  2 In-Person interaction with CBDE mentors  -  Dear Students, This is to inform you that the interaction scheduled with Mr.Parmod Sadan for tommorow (24th September 2024) is postponed to 26th September 2024. We request the students who are   Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGmpgSGFZMJtRzpCGRpngTsr,0
,,,,
Himalayan ExplorersClub,Introductory talk.,"Himalayan Explorers. Introductory talk.  -  Dear Students and Scholars, We are thrilled to invite you to an introductory talk hosted by the Himalayan Explorers Club (HEC)! This is a fantastic opportunity to learn more about our vibrant community Attachment: e837768e-30f9-45d2-8c9b-8e6d64bd56c2.jpg   Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlXdtGGfcFhBChJFSNNqzl,0
,,,,
CS Pant,quiz1,"CS Pant quiz1  -  https://quilgo.com/t/zWNnQT9Q2WlPFmm5 Yours sincerely, CS Pant   Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlXbcgJPVXZLFGtLZLGQCL,0
,,,,
Hindi Cell,प्राचीन भारतीय ग्रंथों में विज्ञान एवं प्रौद्योगिकी पर व्‍याख्‍यान,Hindi Cell प्राचीन भारतीय ग्रंथों में विज्ञान एवं प्रौद्योगिकी पर व्‍याख्‍यान Attachment: WhatsApp Image 2024-09-22 at 00.58.17.jpeg Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtlPJfWKCQmJcrNRVvBktDw,0
,,,,
National Service Scheme - NSS IIT Roorkee,UG and PG First-Year Recruitments 2024-25,"National Service Sc. UG and PG First-Year Recruitments 2024-25  -  Dear Students, Warm Greetings from NSS IIT Roorkee! We are pleased to announce the volunteer recruitment process of NSS IIT Roorkee! NSS IIT Roorkee is a group of visionary students who aspire to Attachment: NSS RECRUITMENT POSTER.png Sep 22",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtkccSdzFVKZgHstzMQZVSK,1
,,,,
Head Centre of Nanotechnology,Welcoming New Faculty Dr. Rajesh Kumar to the Centre for Nanotechnology,Head Centre of Nano. Welcoming New Faculty Dr. Rajesh Kumar to the Centre for Nanotechnology Attachment: image.png Attachment: image.png Sep 22,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGsczHfQfFjtlZhXqJQrflCR,0
,,,,
Head Centre of Nanotechnology,"Invited Lecture on Nanostructured Superhydrophobic Surfaces by Prof. D. K. Sarkar from UQAC, Québec, Canada","Head Centre of Nano. Invited Lecture on Nanostructured Superhydrophobic Surfaces by Prof. D. K. Sarkar from UQAC, Québec, Canada   Sep 22",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGscxzrNxblWHLfchNxsXbbX,0
,,,,
Faculty Advisor Cultural Society,Screening of Movie ‘Tumbbad’ in Convocation Hall Today,Faculty Advisor Cul. Screening of Movie ‘Tumbbad’ in Convocation Hall Today Attachment: Tumbbad.png Sep 22,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGscpgkKGSVhVRklSTprgLkC,0
,,,,
Abhinandan Sahgal,Updated invitation: Engineering Sync @ Daily from 11am to 11:45am from Thu Sep 12 to Sun Sep 22 (IST) (rishabh_j@ph.iitr.ac.in),Abhinandan Sahgal Updated invitation: Engineering Sync @ Daily from 11am to 11:45am from Thu Sep 12 to Sun Sep 22 (IST) (rishabh_j@ph.iitr.ac.in) Sep 22,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGscpdTGvTPCfqXMJZbWpvSC,0
,,,,
General Secretary Sports Affairs,"Freshers, Join us at Arcade Kaishi Today!","General Secretary S. Freshers, Join us at Arcade Kaishi Today!  -  Are you ready to take on the ultimate gaming challenge and showcase your skills? A welcome in the only way we know how to- newly joined UG 1y and PG 1y become a part of the growing gaming culture at Attachment: arcade-kaishi.jpg Sep 22",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGscgVXQvmSqqfzffJCHqHhN,0
,,,,
Hindi Cell,इंडियन नॉलेज सिस्‍टम पर एक व्‍याख्‍यान का आयोजन,Hindi Cell  2 इंडियन नॉलेज सिस्‍टम पर एक व्‍याख्‍यान का आयोजन  -  अनुस्‍मारक : कृपया व्‍याख्‍यान में भाग लेने हेतु निम्‍नांकित लिंक पर प्रतिभागिता करेंं। राजभाषा प्रकोष्ठ भारतीय प्रौद्योगिकी संस्थान रूड़की रूड़की रा.भा.प्र./हिन्दी व्‍याख्‍यान/2024/2 दिनांक : 22   Sep 22,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGnzBgpxVfktpvgckGLQnHpj,0
